Table 1
Round;Bid;P1;P2;Social welfare
1;1;1;0,530198480382879;1,53019848038288
1;2;0,387918085273795;1;1,3879180852738
2;1;1;0,530198480382879;1,53019848038288
2;2;0,598110607745956;0,931186006532544;1,5292966142785
3;1;1;0,530198480382879;1,53019848038288
3;2;0,249763825968244;0,759724067584353;1,0094878935526
4;1;1;0,530198480382879;1,53019848038288
4;2;0,249763825968244;0,759724067584353;1,0094878935526
5;1;1;0,530198480382879;1,53019848038288
5;2;0,249763825968244;0,759724067584353;1,0094878935526
6;1;1;0,530198480382879;1,53019848038288
6;2;0,219736322757935;0,690910074116897;0,910646396874832
7;1;1;0,530198480382879;1,53019848038288
7;2;0,459956348440405;0,690910074116897;1,1508664225573
8;1;1;0,530198480382879;1,53019848038288
8;2;0,488390433337306;0,649135914619043;1,13752634795635
9;1;1;0,530198480382879;1,53019848038288
9;2;0,488390433337306;0,649135914619043;1,13752634795635
10;1;1;0,530198480382879;1,53019848038288
10;2;0,789807477527839;0,599012473850335;1,38881995137817
11;1;1;0,530198480382879;1,53019848038288
11;2;0,789807477527839;0,599012473850335;1,38881995137817
12;1;1;0,530198480382879;1,53019848038288
12;2;0,698582955809467;0,580321921151587;1,27890487696105
13;1;1;0,530198480382879;1,53019848038288
13;2;0,698582955809467;0,580321921151587;1,27890487696105
14;1;1;0,530198480382879;1,53019848038288
14;2;0,75977997431753;0,530198480382879;1,28997845470041
15;1;1;0,530198480382879;1,53019848038288
15;2;1;0,530198480382879;1,53019848038288
16;1;1;0,530198480382879;1,53019848038288
16;2;1;0,530198480382879;1,53019848038288
17;1;1;0,530198480382879;1,53019848038288
17;2;1;0,530198480382879;1,53019848038288
18;1;1;0,530198480382879;1,53019848038288
18;2;1;0,530198480382879;1,53019848038288
19;1;1;0,530198480382879;1,53019848038288
19;2;1;0,530198480382879;1,53019848038288
19;2;1;0,530198480382879;1,53019848038288
