Round;RandomBidderExample1;RandomBidderExample2
1-1;0.8291666666666667;0.30916475432550816
1-2;0.6583333333333334;0.9163397396897104
2-1;0.8083333333333333;0.4159857010710688
2-2;0.5666666666666667;0.8724974603556563
3-1;0.8641666666666666;0.42034233084947453
3-2;0.4525;0.876748466205771
4-1;0.8166666666666668;0.4659574130230339
4-2;0.6425000000000001;0.8168997150971975
5-1;0.8608333333333335;0.3720221559459277
5-2;0.69;0.827801501583119
6-1;0.8341666666666668;0.5868142502950298
6-2;0.595;0.9639627580931429
7-1;0.9208333333333333;0.2643854445095837
7-2;0.6708333333333334;0.8187558758921929
8-1;0.8641666666666666;0.44415384005119085
8-2;0.7216666666666667;0.892528230487994
9-1;0.8516666666666667;0.40386559229421937
9-2;0.6583333333333333;1.0
10-1;0.8324999999999999;0.5012845141673988
10-2;0.755;0.8046278308854702
11-1;0.8258333333333334;0.560654047544781
11-2;0.6425000000000001;0.8413511805074789
12-1;0.8483333333333335;0.5660814276262008
12-2;0.7091666666666667;0.9114487776310307
13-1;0.8225000000000001;0.17360413678275122
13-2;0.6458333333333334;0.899863001134455
14-1;0.81;0.682581635119791
14-2;0.6583333333333334;0.9401512488914268
15-1;0.8716666666666668;0.39217419186935243
15-2;0.5508333333333333;0.847362004934721
16-1;0.8575;0.31200846291301637
16-2;0.7375;0.805997928611276
17-1;0.8216666666666667;0.5703375117397745
17-2;0.7516666666666667;0.8097165713527283
18-1;0.88;0.4183343946196012
18-2;0.7849999999999999;0.9285654723948509
19-1;0.8991666666666666;0.501981670667513
19-2;0.6916666666666667;0.8284393400871863
20-1;0.8258333333333334;0.560654047544781
20-2;0.5158333333333334;0.9127857081126278
21-1;0.9333333333333335;0.24790870595432846
21-2;0.6708333333333334;0.8187558758921929
22-1;0.87;0.2955317243577612
22-2;0.5158333333333334;0.9127857081126278
23-1;0.8150000000000001;0.6359129972646623
23-2;0.6741666666666667;0.8298094378129923
24-1;0.8258333333333333;0.2125816048099636
24-2;0.5525;0.8122681756622003
25-1;0.8858333333333334;0.1497926275810349
25-2;0.6141666666666666;0.8833992468415779
26-1;0.8641666666666666;0.4686053054614722
26-2;0.69;0.8039899923814027
27-1;0.8575;0.33645992832329774
27-2;0.755;0.8046278308854702
28-1;0.8733333333333334;0.3683605649631385
28-2;0.7375;0.805997928611276
29-1;0.8258333333333333;0.2702444865898449
29-2;0.59;0.5245704719042552
30-1;0.8133333333333335;0.5771307861000362
30-2;0.5633333333333334;0.8400272342882598
31-1;0.8483333333333333;0.6143444022381985
31-2;0.6266666666666667;0.8516130107848354
32-1;0.9366666666666666;0.3207375465597058
32-2;0.595;0.9639627580931429
33-1;0.8341666666666668;0.5868142502950298
33-2;0.69;0.827801501583119
34-1;0.9116666666666667;0.5667213838347658
34-2;0.6833333333333333;0.8022791373369376
35-1;0.8133333333333335;0.5771307861000362
35-2;0.6616666666666666;0.8133326992577372
36-1;0.8608333333333335;0.3475134902440972
36-2;0.7516666666666667;0.8097165713527283
37-1;0.8908333333333334;0.5087749450277745
37-2;0.7091666666666667;0.9114487776310307
38-1;0.9083333333333333;0.4456295686173908
38-2;0.6266666666666667;0.8516130107848354
39-1;0.8608333333333332;0.40928876892867505
39-2;0.7091666666666667;0.9114487776310307
40-1;0.8041666666666666;0.42566916526606235
40-2;0.7516666666666667;0.8097165713527283
41-1;0.8416666666666667;0.29268801577025294
41-2;0.69;0.8522529669934003
42-1;0.8066666666666668;0.30845461356301596
42-2;0.5791666666666667;0.8053139386006218
43-1;0.8183333333333334;0.5754262522070329
43-2;0.5791666666666667;0.8053139386006218
44-1;0.8258333333333333;0.3185074612018426
44-2;0.6708333333333334;0.8187558758921929
45-1;0.9416666666666667;0.6662075599338653
45-2;0.5525;0.8122681756622003
46-1;0.9400000000000001;0.21528669753995108
46-2;0.7725;0.9120887338395958
47-1;0.9666666666666668;0.46848669727080305
47-2;0.7849999999999999;0.9285654723948509
48-1;0.8183333333333334;0.5992377614087492
48-2;0.6458333333333334;0.9236745103361714
49-1;0.87;0.3199831897680425
49-2;0.5525;0.8122681756622003
50-1;0.8575;0.31200846291301637
50-2;0.6266666666666667;0.8162157250865434
51-1;0.8008333333333334;0.35284032466068505
51-2;0.5666666666666667;0.8242344857436588
52-1;0.8641666666666666;0.4686053054614722
52-2;0.6283333333333333;0.8049334050157393
53-1;0.8958333333333334;0.4291528300621356
53-2;0.625;0.8039306743853559
54-1;0.8908333333333334;0.5570379196397723
54-2;0.6266666666666667;0.8760644761951166
55-1;0.6266666666666667;0.8760644761951166
55-1;0.6266666666666667;0.8760644761951166
