Round;RandomBidderExample1;RandomBidderExample2
1-1;0.8291666666666667;0.2847132889152268
1-2;0.6458333333333333;0.9835232614447449
2-1;0.8358333333333333;0.5496046890709456
2-2;0.6708333333333334;0.8187558758921929
3-1;0.8816666666666667;0.6849303286683233
3-2;0.69;0.8522529669934003
4-1;0.8783333333333334;0.7382820437475793
4-2;0.6583333333333334;0.9163397396897104
5-1;0.8433333333333334;0.5348324844086938
5-2;0.7091666666666666;0.8760514919327387
6-1;0.8733333333333334;0.4166235395751362
6-2;0.5633333333333334;0.8400272342882598
7-1;0.8133333333333334;0.31117269055538144
7-2;0.6833333333333333;0.8022791373369376
8-1;0.8558333333333334;0.4424451027112235
8-2;0.6583333333333334;0.9163397396897104
9-1;0.9525;0.1988099589846959
9-2;0.535;0.8493699411645943
10-1;0.9083333333333333;0.4456295686173908
10-2;0.6741666666666667;0.8298094378129923
11-1;0.8133333333333334;0.2513239394468081
11-2;0.5;0.8876502526916925
12-1;0.8766666666666666;0.2390982067416674
12-2;0.5033333333333333;0.8126487092470831
13-1;0.8908333333333334;0.5087749450277745
13-2;0.6791666666666666;0.8119626015319312
14-1;0.8325000000000001;0.4074326081336797
14-2;0.6741666666666667;0.8780724124249901
15-1;0.8066666666666668;0.343851899261308
15-2;0.6458333333333334;0.899863001134455
16-1;0.8216666666666667;0.5703375117397745
16-2;0.5033333333333333;0.8963089695573727
17-1;0.8099999999999999;0.26285251565183465
17-2;0.7091666666666666;0.8760514919327387
18-1;0.8066666666666668;0.30845461356301596
18-2;0.7375;0.8304493940215574
19-1;0.8358333333333333;0.5496046890709456
19-2;0.5158333333333334;0.8529369570040546
20-1;0.8291666666666667;0.2847132889152268
20-2;0.4525;0.876748466205771
21-1;0.8608333333333333;0.6752468644733298
21-2;0.7725;0.8876372684293143
22-1;0.9241666666666667;0.33721428511496104
22-2;0.5725;0.3200533743219697
23-1;0.8258333333333333;0.29469595200012627
23-2;0.6616666666666666;0.8615956738697348
24-1;0.9033333333333333;0.5161097156742358
24-2;0.6583333333333334;0.9163397396897104
25-1;0.9033333333333333;0.4922982064725194
25-2;0.5033333333333333;0.8963089695573727
26-1;0.8483333333333334;0.8564909885811369
26-2;0.6266666666666667;0.8516130107848354
27-1;0.8608333333333332;0.40928876892867505
27-2;0.5983333333333334;0.8854071830714512
28-1;0.8358333333333332;0.8400142500258816
28-2;0.6425000000000001;0.8168997150971975
29-1;0.87;0.32004039005959173
29-2;0.5158333333333334;0.8529369570040546
30-1;0.8891666666666668;0.22262146818641224
30-2;0.7516666666666667;0.8097165713527283
31-1;0.8308333333333333;0.6157144999640044
31-2;0.6266666666666667;0.8516130107848354
32-1;0.8308333333333333;0.6401659653742857
32-2;0.5666666666666667;0.8242344857436588
33-1;0.8324999999999999;0.4767758484655683
33-2;0.5791666666666667;0.8053139386006218
34-1;0.8225000000000001;0.17360413678275122
34-2;0.8358333333333332;0.8400142500258816
35-1;0.88;0.4183343946196012
35-2;0.63;0.8004229765419424
36-1;0.8358333333333333;0.5978676636829434
36-2;0.69;0.8522529669934003
37-1;0.9116666666666667;0.5184584092227681
37-2;0.6583333333333334;0.9163397396897104
38-1;0.8991666666666666;0.5502446452795107
38-2;0.78;0.4875150401355302
39-1;0.8766666666666666;0.2390982067416674
39-2;0.7849999999999999;0.9285654723948509
40-1;0.81;0.682581635119791
40-2;0.6741666666666667;0.8298094378129923
41-1;0.8083333333333333;0.4159857010710688
41-2;0.4525;0.876748466205771
42-1;0.8433333333333333;0.4344703758561973
42-2;0.5033333333333333;0.8364602184487995
43-1;0.8225000000000001;0.24637577709657943
43-2;0.5633333333333334;0.8638387434899761
44-1;0.82;0.39095586957842454
44-2;0.7375;0.8304493940215574
45-1;0.8450000000000001;0.22618848402587258
45-2;0.6833333333333333;0.8022791373369376
46-1;0.8591666666666667;0.38909338763196744
46-2;0.6141666666666666;0.8351362722295801
47-1;0.8516666666666667;0.40386559229421937
47-2;0.6266666666666667;0.8516130107848354
48-1;0.9083333333333333;0.4701382343192213
48-2;0.7725;0.9120887338395958
49-1;0.8291666666666667;0.2847132889152268
49-2;0.6708333333333334;0.8187558758921929
50-1;0.8783333333333334;0.6900190691355816
50-2;0.6741666666666667;0.8780724124249901
51-1;0.8891666666666668;0.22262146818641224
51-2;0.7216666666666667;0.9523769815965673
52-1;0.9366666666666666;0.3207375465597058
52-2;0.6741666666666667;0.8298094378129923
53-1;0.9366666666666666;0.3207375465597058
53-2;0.48749999999999993;0.8711735141364372
54-1;0.8575;0.33651712861484684
54-2;0.5791666666666666;0.8407112242989139
55-1;1.0;0.2969260373579895
55-2;0.6583333333333333;1.0
56-1;0.8783333333333334;0.7382820437475793
56-2;0.5508333333333333;0.847362004934721
57-1;0.8516666666666667;0.4276771014959357
57-2;0.6283333333333333;0.8049334050157393
58-1;0.8433333333333333;0.45892184126647867
58-2;0.5950000000000001;0.5225444190596431
59-1;0.8991666666666666;0.5502446452795107
59-2;0.7091666666666667;0.9597117522430285
60-1;0.9083333333333333;0.4701382343192213
60-2;0.6108333333333333;0.9018839216267063
61-1;0.9033333333333333;0.4922982064725194
61-2;0.4099999999999999;0.6033369377350842
62-1;0.8324999999999999;0.4767758484655683
62-2;0.625;0.8039306743853559
63-1;0.8766666666666666;0.2390982067416674
63-2;0.5508333333333333;0.847362004934721
64-1;0.8133333333333334;0.33498419975709776
64-2;0.6283333333333333;0.8049334050157393
65-1;0.9366666666666666;0.3207375465597058
65-2;0.6458333333333334;0.9236745103361714
66-1;0.8483333333333333;0.35554541739067247
66-2;0.6458333333333333;0.9835232614447449
67-1;0.8066666666666668;0.3193432335594775
67-2;0.6583333333333334;0.9163397396897104
68-1;0.8558333333333334;0.4179936373009421
68-2;0.63;0.8004229765419424
69-1;0.8783333333333334;0.7382820437475793
69-2;0.5475;0.8658466797198494
70-1;0.9033333333333333;0.5161097156742358
70-2;0.5;0.8876502526916925
71-1;0.8575;0.33645992832329774
71-2;0.6583333333333334;0.9401512488914268
72-1;0.8308333333333333;0.6157144999640044
72-2;0.6916666666666667;0.8284393400871863
73-1;0.8816666666666666;0.5516147430053165
73-2;0.5791666666666666;0.8889741989109117
74-1;0.8891666666666668;0.22262146818641224
74-2;0.43999999999999995;0.8602717276505158
75-1;0.8416666666666667;0.29268801577025294
75-2;0.6916666666666667;0.8284393400871863
76-1;0.8274999999999999;0.6046609380432049
76-2;0.7091666666666666;0.8760514919327387
77-1;0.8608333333333335;0.38483730351839374
77-2;0.7091666666666667;0.9359002430413121
78-1;0.8183333333333334;0.5754262522070329
78-2;0.5983333333333334;0.8854071830714512
79-1;0.8133333333333334;0.2513239394468081
79-2;0.7216666666666667;0.892528230487994
80-1;0.8450000000000001;0.5177040524311047
80-2;0.6708333333333334;0.8187558758921929
81-1;0.8783333333333334;0.7382820437475793
81-2;0.6741666666666667;0.8298094378129923
82-1;0.8324999999999999;0.5012273138758496
82-2;0.5525;0.8122681756622003
83-1;0.8258333333333333;0.3185074612018426
83-2;0.6141666666666666;0.8595877376398615
84-1;0.8008333333333334;0.2943744330485175
84-2;0.69;0.8522529669934003
85-1;0.8733333333333334;0.1907780318381206
85-2;0.6583333333333333;1.0
86-1;0.8991666666666666;0.501981670667513
86-2;0.7250000000000001;0.813972655466302
87-1;0.8008333333333334;0.4679653492529072
87-2;0.7250000000000001;0.813972655466302
88-1;0.9191666666666667;0.37037061889750944
88-2;0.6583333333333334;0.9401512488914268
89-1;0.8133333333333334;0.33498419975709776
89-2;0.5983333333333334;0.8017469227611616
90-1;0.8433333333333333;0.4106588666544809
90-2;0.7216666666666667;0.9523769815965673
91-1;0.7216666666666667;0.9523769815965673
91-1;0.7216666666666667;0.9523769815965673
